Sample no,RSN,fc (MPa),fy (MPa),Ab (m2),Ac (m2),Lx (m),Ly (m),Lz (m),Nx,Ny,Nz,Ap (m2),AR,Kfc,ρ,Tm (sec),PGA (g),PGV (cm/sec),PGV/PGA (sec),A RMS (g),V RMS (cm/sec),IA,CAV (cm/sec),Tpred (sec),Dsig (sec),Sa(T1) (g),T1 (s),T2 (s),T3 (s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
0,139,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,1.01943,0.38416,0.35873,0.34231,0.61775,0.53,0.47356,591.466,1.261,0.657,0,0,1.261,32.035,32.035
0,334,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.71053,0.38416,0.35873,0.34231,0.60696,0.52092,0.46966,607.079,1.357,0.684,0,0,1.357,49.508,49.508
0,410,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.90276,0.38416,0.35873,0.34231,0.62005,0.5362,0.48726,615.991,1.522,0.772,0,0,1.522,40.468,40.447
0,496,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.87894,0.38416,0.35873,0.34231,0.61535,0.52853,0.4751,595.086,1.28,0.634,0,0,1.28,33.628,33.628
0,949,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.96142,0.38416,0.35873,0.34231,0.61614,0.53036,0.4765,627.003,1.782,0.71,0,0,1.782,63.807,63.798
0,960,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.92407,0.38416,0.35873,0.34231,0.58442,0.50583,0.46705,604.044,1.49,0.805,0,0,1.49,52.246,52.182
0,962,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.91372,0.38416,0.35873,0.34231,0.54564,0.47599,0.45375,637.649,2.364,0.731,0,0,2.364,100,100
0,990,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.97441,0.38416,0.35873,0.34231,0.61526,0.52989,0.47644,597.657,1.358,0.647,0,0,1.358,39.494,39.494
0,998,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.90662,0.38416,0.35873,0.34231,0.61572,0.52912,0.47501,594.22,1.197,0.667,0,0,1.197,20.902,20.902
0,1045,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.8754,0.38416,0.35873,0.34231,0.59423,0.51416,0.47041,639.635,2.19,0.683,0,0,2.19,72.345,72.345
0,1052,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.8792,0.38416,0.35873,0.34231,0.615,0.52896,0.47505,604.337,1.315,0.658,0,0,1.315,36.068,36.068
0,2476,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.68471,0.38416,0.35873,0.34231,0.60031,0.51451,0.46135,560.004,1.024,0.656,0,0,1.024,9.605,9.605
0,2510,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.67291,0.38416,0.35873,0.34231,0.61665,0.53014,0.47546,590.004,1.299,0.647,0,0,1.299,55.057,55.057
0,2990,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,1.06009,0.38416,0.35873,0.34231,0.61892,0.53463,0.48354,632.27,1.955,0.647,0,0,1.955,100,100
0,3282,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.83177,0.38416,0.35873,0.34231,0.61887,0.53376,0.48185,623.504,1.685,0.667,0,0,1.685,54.006,54.006
0,3285,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.91892,0.38416,0.35873,0.34231,0.61873,0.53306,0.4807,612.12,1.718,0.759,0,0,1.718,100,100
0,3319,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.87393,0.38416,0.35873,0.34231,0.61886,0.53302,0.48025,627.303,1.77,0.774,0,0,1.77,79.562,79.541
0,3749,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.9229,0.38416,0.35873,0.34231,0.56825,0.49309,0.45768,616.118,1.492,0.626,0,0,1.492,58.547,58.547
0,4199,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.7165,0.38416,0.35873,0.34231,0.61836,0.53336,0.48162,599.535,1.447,0.678,0,0,1.447,51.266,51.266
0,4455,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.84944,0.38416,0.35873,0.34231,0.61647,0.52863,0.47388,593.198,1.239,0.775,0,0,1.239,22.02,21.971
0,4458,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.88522,0.38416,0.35873,0.34231,0.6207,0.53378,0.4794,606.514,1.407,0.681,0,0,1.407,68.45,68.45
0,4863,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.8816,0.38416,0.35873,0.34231,0.59775,0.51602,0.47023,597.08,1.281,0.615,0,0,1.281,41.682,41.682
0,5117,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.85722,0.38416,0.35873,0.34231,0.61783,0.53345,0.48301,634.712,2.017,0.819,0,0,2.017,79.96,79.917
0,5259,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.68587,0.38416,0.35873,0.34231,0.61545,0.52915,0.47579,579.888,1.234,0.626,0,0,1.234,40.419,40.419
0,5470,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,0.8953,0.43745,80.26981,0.18705,0.04725,10.14236,8.39287,5262.83169,0.96,55.01,0.89673,0.38416,0.35873,0.34231,0.62185,0.53471,0.48059,593.348,1.465,0.711,0,0,1.465,89.172,89.162
0,5665,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.4795,0.40191,95.69703,0.24272,0.04227,15.28482,8.26049,5424.87591,0.82,55.1,0.95729,0.38416,0.35873,0.34231,0.61111,0.5255,0.47255,605.924,1.522,0.647,0,0,1.522,57.426,57.426
0,5676,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.68616,0.38416,0.35873,0.34231,0.61638,0.52905,0.47302,593.013,1.236,0.615,0,0,1.236,26.788,26.788
0,5814,15,415,0.07475,0.0529,2.6,2.6,2.75,6,2,2,81.12,3,1.2,0.0085518,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,0.88574,0.38416,0.35873,0.34231,0.6161,0.53316,0.48526,629.868,2.102,0.692,0,0,2.102,89.477,89.477
1,139,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.88157,0.43404,0.40574,0.38681,0.63333,0.55044,0.51453,541.619,1.336,0.709,0,0,1.336,26.083,26.083
1,334,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.71916,0.43404,0.40574,0.38681,0.69565,0.5988,0.53953,546.96,1.54,0.67,0,0,1.54,68.12,68.12
1,410,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.81102,0.43404,0.40574,0.38681,0.67874,0.58552,0.53365,554.372,1.451,0.739,0,0,1.451,30.666,30.666
1,496,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.88342,0.43404,0.40574,0.38681,0.60639,0.52893,0.50678,562.535,1.539,0.727,0,0,1.539,33.97,33.97
1,949,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,1.01659,0.43404,0.40574,0.38681,0.69862,0.60329,0.54726,576.136,1.922,0.864,0,0,1.922,69.057,69.017
1,960,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,1.08585,0.43404,0.40574,0.38681,0.64972,0.56271,0.52165,564.284,1.664,0.822,0,0,1.664,57.342,57.32
1,962,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.84153,0.43404,0.40574,0.38681,0.72244,0.62198,0.57213,574.016,2.177,0.809,0,0,2.177,100,100
1,990,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.85719,0.43404,0.40574,0.38681,0.68004,0.58658,0.53602,547.353,1.37,0.826,0,0,1.37,38.814,38.782
1,998,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,1.01874,0.43404,0.40574,0.38681,0.69773,0.60333,0.54743,574.227,1.879,0.751,0,0,1.879,48.546,48.546
1,1045,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.87787,0.43404,0.40574,0.38681,0.69015,0.59587,0.53952,581.527,2.145,0.75,0,0,2.145,60.904,60.904
1,1052,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.8654,0.43404,0.40574,0.38681,0.69735,0.59941,0.53929,549.809,1.369,0.729,0,0,1.369,31.332,31.332
1,2476,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.74337,0.43404,0.40574,0.38681,0.69618,0.59678,0.53361,544.747,1.289,0.701,0,0,1.289,26.681,26.681
1,2510,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.70308,0.43404,0.40574,0.38681,0.69969,0.6007,0.5405,557.35,1.532,0.731,0,0,1.532,73.799,73.799
1,2990,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.88228,0.43404,0.40574,0.38681,0.70534,0.60746,0.54842,579.221,2.207,0.844,0,0,2.207,100,100
1,3282,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.80932,0.43404,0.40574,0.38681,0.69701,0.60154,0.54214,575.545,2.273,0.679,0,0,2.273,87.166,87.166
1,3285,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.87476,0.43404,0.40574,0.38681,0.70248,0.60841,0.55599,576.72,2.345,0.81,0,0,2.345,100,100
1,3319,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.8779,0.43404,0.40574,0.38681,0.7018,0.6081,0.55288,580.059,2.192,0.929,0,0,2.192,100,100
1,3749,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.91354,0.43404,0.40574,0.38681,0.69799,0.59992,0.53844,575.746,1.905,0.733,0,0,1.905,75.713,75.713
1,4199,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.73066,0.43404,0.40574,0.38681,0.70246,0.60419,0.54388,563.768,1.714,0.776,0,0,1.714,71.539,71.53
1,4455,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.88318,0.43404,0.40574,0.38681,0.70219,0.60379,0.54424,535.742,1.242,0.853,0,0,1.242,17.893,17.823
1,4458,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.88573,0.43404,0.40574,0.38681,0.69326,0.59787,0.5425,559.146,1.642,0.715,0,0,1.642,71.275,71.275
1,4863,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.88666,0.43404,0.40574,0.38681,0.66354,0.57393,0.52785,540.188,1.391,0.718,0,0,1.391,47.696,47.696
1,5117,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.85939,0.43404,0.40574,0.38681,0.69895,0.60507,0.5516,587.448,2.53,0.852,0,0,2.53,100,100
1,5259,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.74213,0.43404,0.40574,0.38681,0.69872,0.60192,0.54218,562.67,1.84,0.698,0,0,1.84,73.515,73.515
1,5470,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,0.8953,0.43745,80.26981,0.18705,0.04725,10.14236,8.39287,5262.83169,0.96,55.01,0.86995,0.43404,0.40574,0.38681,0.70271,0.60704,0.55054,568.6,2.041,0.748,0,0,2.041,100,100
1,5665,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.4795,0.40191,95.69703,0.24272,0.04227,15.28482,8.26049,5424.87591,0.82,55.1,0.92532,0.43404,0.40574,0.38681,0.69632,0.60283,0.54986,573.645,1.971,0.739,0,0,1.971,96.284,96.284
1,5676,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.73349,0.43404,0.40574,0.38681,0.69546,0.59903,0.5389,556.203,1.471,0.688,0,0,1.471,36.85,36.85
1,5814,15,415,0.07475,0.0529,2.6,2.6,3,6,2,2,81.12,3,1.2,0.0085518,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,1.00515,0.43404,0.40574,0.38681,0.69717,0.60362,0.54986,579.954,2.457,0.779,0,0,2.457,95.816,95.807
2,139,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.99597,0.47532,0.44467,0.42364,0.71083,0.6155,0.56892,513.514,1.464,0.814,0,0,1.464,26.021,26.002
2,334,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.77895,0.47532,0.44467,0.42364,0.7592,0.65361,0.59355,530.686,1.952,0.718,0,0,1.952,100,100
2,410,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.9147,0.47532,0.44467,0.42364,0.73463,0.63471,0.58113,497.796,1.283,0.751,0,0,1.283,18.807,18.807
2,496,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.94856,0.47532,0.44467,0.42364,0.70154,0.60859,0.5659,528.524,1.675,0.819,0,0,1.675,34.68,34.669
2,949,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.89205,0.47532,0.44467,0.42364,0.76104,0.65832,0.59938,546.326,2.337,0.976,0,0,2.337,74.575,74.427
2,960,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6213,0.40079,35.57329,0.09048,0.08888,10.69833,2.43195,1118.51994,0.42,7.97,0.89026,0.47532,0.44467,0.42364,0.73837,0.63812,0.58604,526.086,1.686,0.789,0,0,1.686,54.121,54.121
2,962,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6325,0.40818,51.37601,0.1283,0.10843,13.27285,7.243,3140.96484,0.92,29.4,0.89082,0.47532,0.44467,0.42364,0.72515,0.62708,0.58164,549.945,3.034,0.793,0,0,3.034,100,100
2,990,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.4473,0.43521,33.62016,0.07875,0.07258,6.82335,3.24617,1693.71221,0.1,14.71,0.89957,0.47532,0.44467,0.42364,0.75893,0.65292,0.59136,498.713,1.383,0.887,0,0,1.383,34.948,34.918
2,998,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.5345,0.39747,45.61678,0.11699,0.07765,8.98781,2.78549,1418.06102,0.24,11.33,0.88109,0.47532,0.44467,0.42364,0.76434,0.66318,0.60702,541.011,2.103,0.774,0,0,2.103,53.094,53.094
2,1045,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.0312,0.67999,62.38249,0.09352,0.07601,17.70292,2.22366,1180.35554,0.2,11.93,0.90717,0.47532,0.44467,0.42364,0.73176,0.63293,0.58238,544.648,2.248,0.79,0,0,2.248,56.896,56.896
2,1052,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.5182,0.41381,50.58513,0.12461,0.05943,6.64182,2.17624,1281.62753,0.16,11.14,0.87999,0.47532,0.44467,0.42364,0.76675,0.65843,0.59137,516.596,1.454,0.802,0,0,1.454,26.165,26.165
2,2476,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.546,0.36627,70.20761,0.19539,0.0551,16.95212,4.11719,2750.56367,1.7,39.07,0.7569,0.47532,0.44467,0.42364,0.76432,0.65985,0.59655,524.267,1.836,0.756,0,0,1.836,61.942,61.942
2,2510,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.429,0.33066,81.03706,0.24983,0.07696,21.19063,8.21312,4268.57423,1.94,41.028,0.76835,0.47532,0.44467,0.42364,0.765,0.65971,0.59562,534.505,1.977,0.775,0,0,1.977,99.625,99.625
2,2990,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.8415,0.494,56.16258,0.11589,0.06181,11.00453,6.76926,3686.52318,0.68,35.564,0.9129,0.47532,0.44467,0.42364,0.76504,0.66187,0.60114,535.994,2.316,0.73,0,0,2.316,100,100
2,3282,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.1888,0.32222,68.54745,0.21686,0.05707,12.07112,4.86884,2558.18179,1.48,21.616,0.77034,0.47532,0.44467,0.42364,0.76735,0.66336,0.60168,550.22,2.669,0.774,0,0,2.669,100,100
2,3285,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.0634,0.55373,69.09332,0.12719,0.07868,17.22096,8.48816,4020.61522,0.78,34.845,0.87012,0.47532,0.44467,0.42364,0.76607,0.66321,0.60457,542.711,2.914,0.83,0,0,2.914,100,100
2,3319,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.2023,0.45751,84.55813,0.1884,0.06145,15.00242,7.27355,4059.83503,0.94,38.08,0.92286,0.47532,0.44467,0.42364,0.77727,0.67279,0.61342,548.082,2.503,0.94,0,0,2.503,100,100
2,3749,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6478,0.44077,67.62446,0.1564,0.09458,15.31657,3.8952,1876.39026,0.34,17.86,0.87916,0.47532,0.44467,0.42364,0.71931,0.62301,0.57692,535.242,2.102,0.807,0,0,2.102,74.696,74.691
2,4199,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.1607,0.29655,67.41968,0.23175,0.05829,12.40885,6.28079,3898.87191,1.64,33.48,0.78594,0.47532,0.44467,0.42364,0.7715,0.66385,0.59708,531.939,1.808,0.847,0,0,1.808,78.151,78.14
2,4455,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.87593,0.47532,0.44467,0.42364,0.76072,0.65502,0.59215,507.846,1.433,0.909,0,0,1.433,28.824,28.78
2,4458,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.87714,0.47532,0.44467,0.42364,0.77402,0.66848,0.6057,526.501,1.761,0.783,0,0,1.761,71.954,71.954
2,4863,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.92369,0.47532,0.44467,0.42364,0.76109,0.65581,0.59485,519.147,1.527,0.831,0,0,1.527,43.878,43.872
2,5117,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,0.99992,0.47532,0.44467,0.42364,0.76674,0.66273,0.60234,535.603,2.084,0.899,0,0,2.084,95.384,95.365
2,5259,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.77262,0.47532,0.44467,0.42364,0.76507,0.66107,0.5986,553.092,2.75,0.744,0,0,2.75,92.976,92.976
2,5470,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,0.8953,0.43745,80.26981,0.18705,0.04725,10.14236,8.39287,5262.83169,0.96,55.01,0.89712,0.47532,0.44467,0.42364,0.7691,0.66264,0.59736,530.663,2.079,0.755,0,0,2.079,100,100
2,5665,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.4795,0.40191,95.69703,0.24272,0.04227,15.28482,8.26049,5424.87591,0.82,55.1,0.89749,0.47532,0.44467,0.42364,0.77032,0.66353,0.59883,541.459,2.133,0.842,0,0,2.133,100,100
2,5676,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.75622,0.47532,0.44467,0.42364,0.75529,0.65207,0.5899,536.035,1.878,0.779,0,0,1.878,53.908,53.908
2,5814,15,415,0.07475,0.0529,2.6,2.6,3.2,6,2,2,81.12,3,1.2,0.0085518,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,0.91698,0.47532,0.44467,0.42364,0.76726,0.66203,0.59834,534.81,2.118,0.937,0,0,2.118,90.062,90.028
